City,Locality,restaurants,avg_rating,avg_cost,total_votes,votes_per_restaurant,demand_z,quality_z,opportunity_score
Gurgaon,Ardee City,19,3.0,434.2105263157895,77,4.052631578947368,-1.5307203999743944,-0.8825698873597647,-0.648
Gurgaon,Udyog Vihar,37,3.023076923076923,462.1621621621622,173,4.675675675675675,-1.447198729246069,-0.7889124360108147,-0.658
New Delhi,"Select Citywalk Mall, Saket",25,3.764,904.0,9054,362.16,1.539871350222813,2.21811613529948,-0.678
Gurgaon,Palam Vihar,49,3.0125,395.9183673469388,205,4.183673469387755,-1.5123290636510223,-0.8318387678790826,-0.68
New Delhi,Vasundhara Enclave,62,3.052941176470588,263.7096774193548,329,5.306451612903226,-1.3715040266140737,-0.6677086754415855,-0.704
Noida,Sector 37,25,3.566666666666667,440.0,2778,111.12,0.6956979127330664,1.417240862431125,-0.722
New Delhi,Moti Nagar,40,3.2217391304347824,387.5,597,14.925,-0.7061507784436543,0.01735605821058246,-0.724
New Delhi,Qutab Institutional Area,23,2.9,310.8695652173913,36,1.565217391304348,-2.017616701762301,-1.288418843205216,-0.729
New Delhi,Mehrauli,20,2.925,350.0,38,1.9,-1.9295073145523123,-1.1869566042438535,-0.743
New Delhi,Subhash Nagar,51,3.0277777777777777,255.88235294117646,210,4.117647058823529,-1.5215368103820133,-0.7698340662915842,-0.752
New Delhi,Mukherjee Nagar,68,3.0083333333333333,242.64705882352942,216,3.176470588235294,-1.6675112087860247,-0.8487491410393105,-0.819
New Delhi,Vasant Kunj,23,3.686363636363636,891.304347826087,4003,174.04347826086956,1.0156654320977778,1.9030297641249203,-0.887
Gurgaon,"DLF South Point Mall, Golf Course Road",15,3.7066666666666666,1120.0,2920,194.66666666666666,1.0956659132446163,1.985429400614755,-0.89
Gurgaon,Sector 29,38,3.892105263157895,1394.7368421052631,20881,549.5,1.8386631570900265,2.7380300082088644,-0.899
New Delhi,Pandav Nagar,20,2.9,320.0,16,0.8,-2.272071438293808,-1.288418843205216,-0.984
New Delhi,Greater Kailash (GK) 1,66,3.696969696969697,900.0,10571,160.16666666666666,0.956338989661577,1.9460743503509534,-0.99
Gurgaon,"Supermart 1, DLF Phase 4",17,3.7529411764705882,700.0,3427,201.58823529411765,1.120635408429295,2.173234015476572,-1.053
New Delhi,Najafgarh,60,2.9,268.3333333333333,36,0.6,-2.3566724151839034,-1.288418843205216,-1.068
New Delhi,MG Road,34,2.95,348.52941176470586,27,0.7941176470588235,-2.2744225962540376,-1.0854943652824893,-1.189
Noida,"DLF Mall of India, Sector 18,  Noida",31,3.8419354838709676,946.7741935483871,8277,267.0,1.32161785591137,2.5344164828229028,-1.213
Gurgaon,Sushant Lok,30,3.4960000000000004,566.6666666666666,1086,36.2,-0.09675029413338611,1.130440933633674,-1.227
New Delhi,Shahpur Jat,26,3.715384615384615,776.9230769230769,2882,110.84615384615384,0.6939414169950393,2.020811104457691,-1.327
Gurgaon,Sector 39,20,3.0,395.0,17,0.85,-2.252391354747113,-0.8825698873597647,-1.37
Gurgaon,DLF Phase 4,21,3.804761904761905,750.0,3414,162.57142857142858,0.9669772205864463,2.3835479001583892,-1.417
New Delhi,Majnu ka Tila,25,3.1,416.0,45,1.8,-1.9547126416170446,-0.47672093151431333,-1.478
Gurgaon,Sector 17,21,3.4,352.3809523809524,266,12.666666666666666,-0.8159973547830912,0.7408259360220388,-1.557
New Delhi,Nangloi,41,,237.8048780487805,6,0.14634146341463414,-2.5961665183720704,,
